Coefficients order=180 center=CT2077:180
Observation time
          B0 angle & Nmax:        0          180





Max Harmonic Order:180              Units: Gauss
 
  l   m      g(uT)      h(uT)
  123   37         -0.026          0.011
  123   38         -0.620         -0.383
  123   39         -0.065          0.915
  123   40          0.495         -0.257
  123   41         -0.357         -0.294
  123   42         -0.894          0.098
  123   43          0.182         -0.870
  123   44         -0.775          0.018
  123   45          0.272         -0.127
  123   46         -1.646         -0.159
  123   47         -1.301          0.889
  123   48         -0.485         -0.742
  123   49          0.206          0.730
  123   50          0.604         -0.111
  123   51          0.963         -0.091
  123   52          0.108         -0.042
  123   53         -0.104          0.030
  123   54          0.516         -0.053
  123   55          0.140         -0.053
  123   56          0.414          0.291
  123   57          0.510         -0.672
  123   58         -0.202         -0.047
  123   59          0.257         -0.974
  123   60          0.424          0.337
  123   61          0.316          0.693
  123   62         -0.004          0.287
  123   63          0.155         -0.411
  123   64          0.844         -0.029
  123   65          0.378         -0.867
  123   66          0.434          0.273
  123   67         -0.016         -0.292
  123   68          0.654          0.838
  123   69          0.443         -0.730
  123   70          0.134         -0.126
  123   71         -0.532         -0.203
  123   72         -0.267          0.318
  123   73         -0.056          0.017
  123   74         -0.601         -0.482
  123   75         -0.426         -0.216
  123   76         -0.906          0.108
  123   77          0.107         -0.924
  123   78          0.040          0.139
  123   79          0.014          0.627
  123   80          0.008          0.095
  123   81          0.007         -0.105
  123   82          0.490         -0.605
  123   83          0.204          0.433
  123   84          0.682          0.438
  123   85         -0.305         -0.390
  123   86          0.105         -0.501
  123   87         -0.181          0.116
  123   88          0.194          0.606
  123   89          0.009         -0.576
  123   90         -0.159         -0.116
  123   91         -0.004         -0.070
  123   92          0.525         -0.225
  123   93         -0.048         -0.696
  123   94          0.387          0.670
  123   95         -0.599          1.388
  123   96         -1.477          0.748
  123   97         -0.332          0.058
  123   98          1.158          0.152
  123   99          0.750          0.025
  123  100          0.161          0.168
  123  101         -0.207          0.190
  123  102          0.217          0.144
  123  103          0.137         -0.552
  123  104         -0.192          0.404
  123  105         -0.538         -0.867
  123  106         -0.044          0.442
  123  107          0.063          0.568
  123  108         -0.146          0.228
  123  109          0.011          0.991
  123  110          0.004         -0.787
  123  111          0.015         -0.107
  123  112         -0.158         -0.704
  123  113         -0.143          0.304
  123  114         -0.056          0.188
  123  115         -0.555          0.840
  123  116         -0.263          0.146
  123  117          0.865          0.024
  123  118         -0.644         -0.572
  123  119          0.027         -0.455
  123  120          0.001          0.472
  123  121          0.265          0.121
  123  122         -0.300          0.365
  123  123         -0.183          0.335
  124    0          0.962          0.000
  124    1         -0.814          0.340
  124    2          0.480         -1.056
  124    3         -1.050         -0.776
  124    4         -0.072         -0.706
  124    5          0.533          0.590
  124    6          0.334          0.446
  124    7         -1.450          1.445
  124    8          0.030          0.816
  124    9         -1.123          1.134
  124   10          0.460         -0.118
  124   11         -1.311          0.715
  124   12         -0.130         -0.177
  124   13          0.668         -1.341
  124   14          0.438         -0.253
  124   15          1.294         -1.231
  124   16          0.900         -0.348
  124   17         -1.160         -0.940
  124   18         -0.260         -0.492
  124   19         -0.262          0.304
  124   20         -0.582         -0.084
  124   21          0.136          1.079
  124   22          0.190         -0.783
  124   23         -0.272         -1.319
  124   24          1.194         -0.855
  124   25          0.012         -0.648
  124   26          0.626         -0.439
  124   27          1.155          0.090
  124   28         -0.392         -0.561
  124   29         -0.788          0.017
  124   30         -0.361          0.452
  124   31          0.986         -0.156
  124   32          1.311          0.510
  124   33         -0.520          0.635
  124   34         -0.136          0.663
  124   35          0.284         -0.471
  124   36          1.082          0.183
  124   37         -0.374          0.596
  124   38          0.061         -0.654
  124   39          0.079         -0.602
  124   40          0.635         -0.756
  124   41          1.120         -0.009
  124   42          0.264         -0.461
  124   43          0.393         -0.599
  124   44         -0.600         -0.825
  124   45          0.628         -0.686
  124   46         -0.117         -0.092
  124   47         -0.365         -0.047
  124   48          0.166          0.043
  124   49         -0.744          0.181
  124   50         -0.122          0.619
  124   51         -0.682         -0.517
  124   52         -0.386         -0.131
  124   53          0.519         -0.641
  124   54         -0.118         -0.702
  124   55          0.647         -0.301
  124   56         -0.093         -0.266
  124   57          1.123          0.798
  124   58          0.233          0.005
  124   59         -0.723          0.833
  124   60         -0.419          0.666
  124   61          0.578         -0.355
  124   62         -0.731          0.748
  124   63          0.256         -0.212
  124   64         -0.266         -0.840
  124   65          0.368         -0.355
  124   66         -0.203          0.049
  124   67          0.773          0.528
  124   68          0.299         -0.505
  124   69         -0.343          0.229
  124   70         -0.053          0.219
  124   71          0.386          0.027
  124   72          1.153          0.013
  124   73          0.009          0.467
  124   74          1.326          0.356
  124   75          0.420         -0.139
  124   76         -0.624         -0.519
  124   77         -0.022         -0.173
  124   78          0.005          0.138
  124   79         -0.702          0.234
  124   80         -0.396          0.459
  124   81          0.671          1.178
  124   82          0.081         -0.024
  124   83         -0.658          0.375
  124   84         -0.646         -0.096
  124   85          0.183         -0.485
  124   86          0.775         -0.020
  124   87          0.490         -0.276
  124   88         -0.059         -0.286
  124   89         -0.703          0.220
  124   90          0.026         -0.121
  124   91          0.257         -0.541
  124   92         -0.149         -0.184
  124   93          0.525          0.001
  124   94         -0.434         -0.455
  124   95          0.704          0.444
  124   96          0.017         -0.991
  124   97         -0.540          0.068
  124   98         -0.185          0.181
  124   99          0.429         -0.661
  124  100          0.014         -0.759
  124  101          0.684          0.253
  124  102         -0.275         -0.620
  124  103          0.344         -0.991
  124  104         -0.075          0.585
  124  105          0.105          0.106
  124  106         -0.519         -0.385
  124  107          0.026         -0.504
  124  108         -0.193          0.388
  124  109          0.570          0.635
  124  110         -1.362         -0.726
  124  111          0.112          0.414
  124  112          0.354          0.517
  124  113         -0.478          0.365
  124  114         -0.102         -0.043
  124  115         -0.799         -0.745
  124  116         -0.168         -0.212
  124  117         -0.817          0.208
  124  118          0.021         -0.028
  124  119          1.099          0.178
  124  120         -0.208          0.428
  124  121          0.508          0.203
  124  122         -0.284         -0.099
  124  123          0.017         -0.690
  124  124         -0.187          0.511
  125    0          1.627          0.000
  125    1         -0.131          0.485
  125    2         -0.969         -1.257
  125    3          0.600         -1.602
  125    4         -1.417         -1.611
  125    5          0.146         -0.074
  125    6         -0.216         -0.229
  125    7         -1.516          1.251
  125    8         -0.194         -0.168
  125    9          0.664         -0.664
  125   10          0.304         -0.338
  125   11         -0.049          0.114
  125   12         -0.058          0.275
  125   13          0.679         -0.604
  125   14         -0.505         -0.863
  125   15          1.092         -0.720
  125   16         -0.200         -0.704
  125   17         -0.831         -0.693
  125   18         -0.293          0.627
  125   19         -0.568          0.744
  125   20         -0.258         -0.095
  125   21          0.123         -0.050
  125   22         -0.856         -0.783
  125   23         -0.704          1.319
  125   24         -0.016         -0.028
  125   25          0.565          1.296
  125   26          0.504         -0.292
  125   27          0.021          0.698
  125   28          0.569         -0.408
  125   29          0.252          0.020
  125   30         -0.712          0.505
  125   31          0.405         -0.337
  125   32          0.066         -0.157
  125   33         -0.346          0.515
  125   34          0.210          0.651
  125   35         -0.182         -0.574
  125   36         -0.025          0.379
  125   37          0.176          0.443
  125   38         -0.133          0.188
  125   39         -0.799          0.117
  125   40          0.191         -0.008
  125   41         -0.780          0.713
  125   42         -0.277          0.515
  125   43          0.546         -0.115
  125   44         -0.081         -0.594
  125   45         -0.074         -0.503
  125   46         -0.542          0.593
  125   47         -0.444          0.655
  125   48          0.286         -0.233
  125   49         -0.199         -0.420
  125   50         -1.396         -0.135
  125   51          0.031         -0.506
  125   52          0.682         -0.303
  125   53          0.169          0.017
  125   54          0.255         -0.565
  125   55          0.399          0.513
  125   56          0.536          0.743
  125   57         -0.566         -0.028
  125   58         -0.880         -0.575
  125   59         -0.658         -0.733
  125   60         -0.707          0.713
  125   61         -0.136          0.058
  125   62          0.119         -0.752
  125   63          0.005          0.086
  125   64          0.025         -0.017
  125   65          0.017         -0.042
  125   66          0.261         -0.234
  125   67          0.816          0.461
  125   68         -0.246          0.336
  125   69          0.381         -0.260
  125   70          0.587          0.645
  125   71          0.341          0.194
  125   72         -0.053          0.534
  125   73          0.089          0.248
  125   74          0.414         -0.363
  125   75         -0.082          0.506
  125   76         -0.027          0.501
  125   77         -0.323          0.861
  125   78          0.410         -0.667
  125   79         -0.680         -0.303
  125   80         -0.012         -0.072
  125   81          0.106         -0.265
  125   82         -0.223         -0.326
  125   83         -0.057          0.705
  125   84         -0.480          0.352
  125   85         -0.802         -0.207
  125   86          0.276          0.287
  125   87         -0.286         -0.805
  125   88          0.098          0.451
  125   89          0.227          0.215
  125   90          0.273         -0.141
  125   91         -0.112          0.977
  125   92         -0.180         -0.309
  125   93          0.633          0.643
  125   94          0.503          0.557
  125   95         -0.222          0.414
  125   96          0.019         -0.162
  125   97          0.354         -0.282
  125   98          1.196          0.690
  125   99         -0.356          1.055
  125  100         -0.143          0.682
  125  101          0.070          0.376
  125  102          0.378          0.453
  125  103          0.100         -0.336
  125  104         -0.983         -0.363
  125  105          0.457         -0.262
  125  106         -0.179          0.148
  125  107         -0.192         -0.220
  125  108         -0.131          0.631
  125  109          0.731          0.174
  125  110          0.053         -0.232
  125  111         -0.226          0.308
  125  112         -0.727         -0.683
  125  113          0.236         -0.489
  125  114         -0.241         -0.668
  125  115         -0.269          0.598
  125  116          0.564          0.464
  125  117          0.341         -0.303
  125  118          0.271         -0.751
  125  119         -0.616         -0.854
  125  120         -0.122          0.593
  125  121         -0.312         -0.118
  125  122          0.466         -0.280
  125  123          0.134          0.645
  125  124          0.107         -1.062
  125  125          0.111         -0.074
  126    0          0.900          0.000
  126    1         -1.982          0.274
  126    2          0.567         -1.744
  126    3         -1.468         -0.701
  126    4         -0.405         -0.285
  126    5          1.378         -0.268
  126    6          0.606         -0.481
  126    7         -1.570          0.659
  126    8         -0.332         -0.454
  126    9          0.460         -0.432
  126   10          0.411          0.398
  126   11         -0.436         -0.686
  126   12          0.061         -0.435
  126   13          0.630         -0.666
  126   14         -0.543         -1.119
  126   15          1.045         -0.385
  126   16         -0.262         -0.029
  126   17         -2.038         -0.305
  126   18         -0.011         -1.312
  126   19         -1.063         -0.007
  126   20         -0.137         -0.209
  126   21         -0.207          0.471
  126   22          0.388         -0.390
  126   23         -0.117         -0.464
  126   24          0.286         -0.640
  126   25         -0.479         -0.979
  126   26         -0.024          0.441
  126   27         -0.195          1.687
  126   28         -0.403         -0.015
  126   29          0.261         -0.077
  126   30         -0.660          1.126
  126   31          0.136          0.983
  126   32          0.348          1.156
  126   33          0.250          0.026
  126   34         -1.043         -0.812
  126   35         -0.177         -0.506
  126   36          0.627          0.201
  126   37         -0.913          0.582
  126   38          0.550         -0.049
  126   39          0.920         -0.880
  126   40         -0.014         -0.196
  126   41          0.130          0.055
  126   42         -0.599         -1.040
  126   43         -0.555          0.137
  126   44          0.962          0.265
  126   45         -0.143          0.023
  126   46          0.801         -0.399
  126   47         -0.952         -0.895
  126   48          0.340         -0.318
  126   49         -0.239         -0.159
  126   50          0.165          0.022
  126   51         -0.801          0.177
  126   52          0.684         -0.241
  126   53         -0.844         -0.536
  126   54          0.711         -0.747
  126   55         -0.611         -1.021
  126   56         -1.181         -0.126
  126   57         -0.600         -1.042
  126   58          0.752         -1.061
  126   59          0.974          0.191
  126   60          0.428         -0.088
  126   61          0.185         -0.363
  126   62          0.107         -0.577
  126   63          0.460          0.238
  126   64          0.451          0.418
  126   65          0.574          0.493
  126   66          0.504         -0.325
  126   67         -0.237          0.263
  126   68          0.333         -0.616
  126   69          0.058          0.251
  126   70         -0.635          0.049
  126   71         -0.228          0.769
  126   72          0.762          0.673
  126   73         -0.033          0.188
  126   74         -0.660         -0.310
  126   75         -0.247         -1.012
  126   76          0.816          0.093
  126   77          0.061          0.100
  126   78          0.415         -0.343
  126   79         -0.737         -0.338
  126   80          0.685          0.296
  126   81          0.200          0.845
  126   82         -0.890         -0.456
  126   83         -0.309          0.456
  126   84         -0.200         -0.113
  126   85         -0.017         -0.359
  126   86         -0.538         -0.456
  126   87         -0.511          0.225
  126   88          0.049          0.254
  126   89          0.240         -0.375
  126   90          0.274          0.231
  126   91          0.563          0.094
  126   92         -1.245         -0.313
  126   93         -0.175         -0.158
  126   94          0.164         -0.263
  126   95         -1.012         -0.489
  126   96          0.097          0.136
  126   97         -0.477         -0.241
  126   98         -0.495          0.497
  126   99          0.226          0.449
  126  100          0.057         -0.011
  126  101          0.478          0.273
  126  102         -0.531         -0.040
  126  103          0.643          0.472
  126  104         -0.569          0.348
  126  105         -0.359         -0.525
  126  106          0.098          0.172
  126  107          0.625         -0.519
  126  108          0.768          0.578
  126  109          0.652         -0.713
  126  110         -1.409          0.579
  126  111         -1.047          0.244
  126  112         -0.471          0.510
  126  113         -0.058         -0.312
  126  114          0.436         -0.286
  126  115          0.551         -0.147
  126  116          0.128         -0.173
  126  117          0.272          0.315
  126  118         -0.076          0.467
  126  119          0.132         -0.064
  126  120         -0.382         -0.635
  126  121          0.484         -0.486
  126  122          0.164          0.253
  126  123          0.497          0.011
  126  124         -0.044         -0.059
  126  125          0.238         -0.493
  126  126         -0.334          0.505
  127    0          1.890          0.000
  127    1         -0.682         -0.210
  127    2         -0.311          0.212
  127    3          0.408         -0.869
  127    4         -0.270         -1.092
  127    5          0.475         -1.621
  127    6         -0.072          0.592
  127    7         -1.562         -0.151
  127    8          0.583          0.638
  127    9          1.052         -0.531
  127   10         -0.308         -1.574
  127   11          0.527         -0.550
  127   12         -0.024          0.116
  127   13          0.732         -1.019
  127   14         -1.242         -0.658
  127   15          1.253          0.149
  127   16         -0.241         -0.598
  127   17          0.125         -0.407
  127   18          0.542          1.086
  127   19         -0.808          0.831
  127   20          0.067         -0.755
  127   21         -0.721          0.446
  127   22         -0.581         -0.854
  127   23         -0.588         -0.592
  127   24         -0.243         -0.861
  127   25         -0.367          0.091
  127   26         -0.070          0.167
  127   27          0.117          0.232
  127   28         -0.243         -0.565
  127   29          0.052         -0.821
  127   30         -0.156          0.598
  127   31         -0.563          0.516
  127   32          0.369         -0.345
  127   33         -0.205         -0.518
  127   34         -0.642         -0.812
  127   35         -0.010         -0.073
  127   36         -0.547          1.081
  127   37         -0.088          0.214
  127   38          0.352         -0.094
  127   39         -0.095          0.217
  127   40          0.389          1.012
  127   41          0.879         -0.013
  127   42         -0.107         -0.257
  127   43         -1.048          1.083
  127   44          0.111          0.538
  127   45         -0.049         -0.779
  127   46          0.278          0.287
  127   47         -0.357         -0.019
  127   48          0.177         -0.500
  127   49          0.341         -0.303
  127   50         -0.823         -0.006
  127   51         -0.312         -0.453
  127   52         -0.193          0.074
  127   53         -0.590         -0.004
  127   54          1.187         -1.451
  127   55         -0.545         -0.595
  127   56          0.884         -0.086
  127   57          0.294          0.052
  127   58          0.480          0.672
  127   59         -0.026          0.028
  127   60         -0.018         -0.694
  127   61          0.235         -0.342
  127   62          0.187         -0.805
  127   63         -0.175         -0.211
  127   64          0.105          0.150
  127   65          0.211          0.454
  127   66          1.406         -0.766
  127   67         -1.034         -0.201
  127   68         -0.117          0.031
  127   69         -0.163         -0.083
  127   70          0.044          0.480
  127   71         -0.412          0.480
  127   72          0.795          0.140
  127   73         -0.380         -0.111
  127   74          0.498          0.153
  127   75         -0.001         -0.209
  127   76         -0.058         -0.234
  127   77         -0.235         -0.511
  127   78          1.163         -0.043
  127   79         -0.063         -0.139
  127   80         -1.145          0.555
  127   81         -0.744         -0.279
  127   82          0.622          0.645
  127   83          0.499         -0.607
  127   84          0.953         -0.064
  127   85          0.258          0.009
  127   86          0.313          0.984
  127   87          0.341          0.340
  127   88         -0.401         -0.205
  127   89         -0.181         -0.631
  127   90          0.424          0.270
  127   91         -0.010         -0.330
  127   92          0.636         -0.610
  127   93         -0.156          0.605
  127   94         -0.092         -1.139
  127   95          0.129         -0.096
  127   96         -0.520         -0.795
  127   97         -0.069          0.390
  127   98          0.183          0.407
  127   99         -0.331          0.247
  127  100         -0.253         -0.100
  127  101          0.136          0.138
  127  102          0.051         -0.029
  127  103         -0.562         -0.608
  127  104          0.040          0.622
  127  105         -0.026         -1.236
  127  106          0.269         -0.419
  127  107         -0.301          0.212
  127  108          0.423         -0.278
  127  109          0.733          0.576
  127  110         -0.303          0.152
  127  111          0.749         -0.733
  127  112         -0.377          0.534
  127  113          0.621         -0.805
  127  114         -0.040         -0.106
  127  115          0.631          0.503
  127  116         -0.478         -0.098
  127  117          0.008          0.228
  127  118         -0.361          0.293
  127  119          0.133          0.029
  127  120         -0.324         -0.075
  127  121          0.566          0.493
  127  122         -0.451          0.415
  127  123          0.072         -0.026
  127  124          0.327          0.069
  127  125          0.893         -0.149
  127  126          0.036          0.867
  127  127          1.050         -0.702
  128    0          1.597          0.000
  128    1         -1.189          0.402
  128    2          1.371         -0.073
  128    3         -0.154         -0.424
  128    4          0.699         -1.184
  128    5          2.139          0.320
  128    6          1.066         -0.156
  128    7         -1.503          0.317
  128    8          0.127          0.022
  128    9         -0.178          1.041
  128   10         -0.360         -0.825
  128   11         -0.786         -1.027
  128   12         -1.179         -0.040
  128   13          1.355         -0.040
  128   14         -1.240         -0.369
  128   15          0.590         -0.048
  128   16          1.239          1.517
  128   17         -0.106         -0.077
  128   18          1.640         -1.289
  128   19         -0.779         -0.221
  128   20         -0.302         -0.662
  128   21         -0.943          0.344
  128   22          0.137         -0.837
  128   23         -0.883          0.233
  128   24         -0.091          0.084
  128   25          0.159         -0.420
  128   26         -0.259          0.793
  128   27          0.291          0.859
  128   28         -0.005         -0.138
  128   29          0.137         -0.542
  128   30         -0.197         -0.201
  128   31         -0.735         -0.496
  128   32          0.604          0.585
  128   33         -0.168         -0.422
  128   34         -0.288          0.346
  128   35          0.178          0.922
  128   36         -0.633         -0.457
  128   37         -0.427          0.064
  128   38         -0.218          0.461
  128   39          0.007         -0.900
  128   40          0.540         -0.347
  128   41         -0.356          0.389
  128   42         -1.259         -0.048
  128   43         -0.620          0.792
  128   44          0.707         -0.255
  128   45          0.639          0.234
  128   46         -0.080          0.252
  128   47         -0.412         -0.429
  128   48          0.503          0.548
  128   49          0.342         -0.379
  128   50         -0.014          0.614
  128   51         -0.340         -0.203
  128   52          0.138          0.098
  128   53          0.429         -0.562
  128   54         -0.633         -0.773
  128   55         -0.016          0.159
  128   56         -0.155          0.106
  128   57         -0.357          0.296
  128   58          0.189         -0.068
  128   59         -0.899         -0.547
  128   60         -0.020          0.490
  128   61          0.051         -0.183
  128   62         -0.404         -0.189
  128   63         -0.692          0.528
  128   64          0.528          0.796
  128   65         -0.848         -0.545
  128   66          0.373         -0.706
  128   67         -1.408          0.053
  128   68         -0.258         -0.354
  128   69         -0.395          0.905
  128   70         -0.064         -0.543
  128   71          0.079         -0.040
  128   72          0.144          0.198
  128   73         -0.958          0.766
  128   74         -0.741          0.179
  128   75         -0.618         -0.704
  128   76          0.545          1.219
  128   77          0.366          0.924
  128   78          0.173         -0.887
  128   79         -0.430         -0.089
  128   80          0.843          0.423
  128   81          0.816          0.810
  128   82         -0.364          0.673
  128   83          0.943         -0.382
  128   84         -0.666          0.249
  128   85          0.598         -0.082
  128   86         -1.104         -0.093
  128   87         -0.354         -0.050
  128   88          0.933          0.326
  128   89         -0.217          0.241
  128   90         -0.460          0.134
  128   91          0.053          0.873
  128   92          0.140         -0.392
  128   93         -0.288          0.035
  128   94          0.196         -0.648
  128   95         -0.704         -0.249
  128   96          0.677          0.731
  128   97          0.066         -0.124
  128   98         -0.358          0.181
  128   99         -0.476         -0.444
  128  100          0.295         -0.125
  128  101          0.875          0.519
  128  102          0.348         -0.097
  128  103         -0.435          0.432
  128  104         -0.195          0.817
  128  105         -0.613         -0.168
  128  106          0.491          0.316
  128  107         -0.315          0.064
  128  108         -0.410          0.081
  128  109          0.225          0.029
  128  110         -0.286          0.224
  128  111         -0.388          0.426
  128  112          0.012         -0.747
  128  113         -0.308          0.414
  128  114         -0.385         -1.005
  128  115         -0.336         -0.708
  128  116         -0.420         -0.785
  128  117          0.647          0.040
  128  118          0.203          0.020
  128  119         -0.277          0.552
  128  120         -0.021         -0.122
  128  121         -0.281          0.573
  128  122         -0.904          0.468
  128  123         -0.065          0.753
  128  124          0.989          0.295
  128  125          0.258         -0.034
  128  126         -0.283          0.187
  128  127         -0.370          0.985
  128  128         -0.079         -0.443
  129    0          0.080          0.000
  129    1         -1.942          0.192
  129    2          0.387          1.265
  129    3         -0.554         -0.123
  129    4          0.824         -1.205
  129    5          1.062         -1.283
  129    6          1.050          0.335
  129    7         -0.842         -0.350
  129    8          0.965         -0.052
  129    9          1.262         -0.040
  129   10         -0.213         -1.029
  129   11          1.003          0.190
  129   12         -0.149          1.016
  129   13          1.002         -0.332
  129   14         -2.145          0.084
  129   15          1.670          0.779
  129   16          0.548          0.489
  129   17          0.013         -1.124
  129   18          2.026         -0.614
  129   19         -0.847         -0.038
  129   20         -0.528         -0.721
  129   21         -0.490          0.575
  129   22         -0.639         -0.239
  129   23         -1.422          0.174
  129   24         -0.106          0.579
  129   25         -0.011          0.852
  129   26         -1.299          0.682
  129   27          0.383          0.306
  129   28          0.749          0.244
  129   29         -0.334         -1.168
  129   30         -0.414         -0.308
  129   31         -1.244         -0.073
  129   32          0.194          0.998
  129   33          0.388         -0.491
  129   34          1.300          0.113
  129   35          0.930          0.547
  129   36         -0.081          0.319
  129   37         -0.133         -0.558
  129   38         -0.001          1.184
  129   39         -0.118          0.396
  129   40          1.073          0.089
  129   41          0.221         -0.086
  129   42         -0.617         -0.056
  129   43         -0.179          0.295
  129   44         -0.143          0.605
  129   45          0.835         -0.390
  129   46         -0.401          0.607
  129   47          0.145          0.589
  129   48          0.288          0.107
  129   49          1.285         -0.129
  129   50          0.183          0.278
  129   51          0.700         -0.121
  129   52          0.187         -0.768
  129   53         -0.021         -0.693
  129   54         -0.239          0.172
  129   55          0.552         -0.087
  129   56          0.053         -0.484
  129   57          0.076          0.304
  129   58         -0.213          0.571
  129   59          0.169          0.033
  129   60         -0.564          0.436
  129   61         -0.376         -0.547
  129   62          0.589          0.027
  129   63          0.327          0.249
  129   64          0.770         -0.412
  129   65          0.018         -0.177
  129   66         -0.116         -0.393
  129   67         -0.125         -0.118
  129   68         -0.279          0.076
  129   69          0.180         -0.913
  129   70          0.022         -0.059
  129   71          0.347          0.032
  129   72         -0.130          0.083
  129   73          0.376         -0.358
  129   74          0.427          0.964
  129   75          0.731          1.052
  129   76         -0.272          0.330
  129   77          0.713          0.204
  129   78         -0.082         -0.285
  129   79         -0.966          0.178
  129   80         -1.040         -0.466
  129   81         -0.450         -0.118
  129   82         -0.064          0.309
  129   83          0.886         -0.819
  129   84          0.223          0.088
  129   85          0.137          0.543
  129   86         -0.186          0.712
  129   87         -0.253         -0.451
  129   88          0.406         -0.935
  129   89          0.616         -0.082
  129   90          0.765          0.511
  129   91          0.634          0.345
  129   92         -0.055         -0.135
  129   93         -0.847          0.044
  129   94          0.464         -0.424
  129   95          0.315         -0.459
  129   96          0.201          0.559
  129   97          0.335         -0.529
  129   98         -0.104          0.440
  129   99         -0.126         -0.311
  129  100         -0.393         -0.494
  129  101         -0.186          0.542
  129  102          0.312          0.479
  129  103          0.083          0.340
  129  104          0.726          0.683
  129  105         -0.095         -0.519
  129  106          0.742          0.021
  129  107          0.310         -0.275
  129  108          0.450         -0.730
  129  109          0.124          0.864
  129  110          0.146         -0.119
  129  111          0.277         -0.724
  129  112         -0.304         -0.154
  129  113         -0.807          0.104
  129  114         -0.106          0.316
  129  115         -0.221         -0.140
  129  116          0.811          0.129
  129  117          0.232          0.095
  129  118         -0.100          0.419
  129  119          0.533         -0.174
  129  120         -0.267         -0.180
  129  121         -0.191         -0.096
  129  122         -0.372          0.013
  129  123         -0.082          0.212
  129  124         -0.216          0.562
  129  125          0.075         -0.425
  129  126          0.884         -0.202
  129  127          0.819          0.496
  129  128          0.880          0.522
  129  129         -0.030         -0.385
  130    0          0.852          0.000
  130    1         -1.315          1.334
  130    2          1.327         -0.149
  130    3          0.994         -0.963
  130    4          0.608         -0.394
  130    5          3.348          0.505
  130    6          1.063         -0.794
  130    7         -1.467         -0.184
  130    8          1.076          0.921
  130    9          0.699          0.902
  130   10          0.421         -0.564
  130   11          0.472         -0.377
  130   12         -1.260          1.985
  130   13          1.314         -0.119
  130   14         -2.357         -0.483
  130   15          1.062         -0.204
  130   16          0.716          1.132
  130   17         -0.662         -0.558
  130   18          0.439         -0.927
  130   19         -1.192         -0.352
  130   20          0.122         -0.798
  130   21         -0.966          0.401
  130   22         -0.589         -0.074
  130   23         -0.587          0.354
  130   24         -0.229         -0.115
  130   25          0.597          1.162
  130   26         -0.006          0.460
  130   27         -0.084         -0.505
  130   28          0.040         -0.334
  130   29         -0.456         -0.518
  130   30         -0.046         -0.637
  130   31         -0.935         -1.046
  130   32         -0.658          0.251
  130   33         -0.853         -0.827
  130   34          0.067          1.250
  130   35         -0.139          0.942
  130   36          0.209         -0.031
  130   37         -0.049          0.050
  130   38          0.397         -0.497
  130   39         -0.474         -0.844
  130   40         -0.758         -0.011
  130   41          0.507         -0.331
  130   42         -0.579         -0.902
  130   43         -0.359          0.838
  130   44          0.572         -0.160
  130   45         -0.443          0.420
  130   46         -1.041         -0.350
  130   47         -0.379          0.108
  130   48         -0.064         -0.007
  130   49          0.070         -0.342
  130   50          0.515          0.613
  130   51         -0.029          0.214
  130   52          0.227         -0.221
  130   53         -0.260          0.725
  130   54         -0.584         -0.230
  130   55          0.420         -0.423
  130   56         -0.129         -0.011
  130   57         -0.024          0.618
  130   58         -0.671          0.056
  130   59          0.149         -0.140
  130   60          0.154          0.449
  130   61         -0.854          0.303
  130   62          0.075          0.859
  130   63          0.134         -0.172
  130   64          0.108          0.247
  130   65          0.395         -0.788
  130   66         -0.429          1.026
  130   67         -0.149         -0.150
  130   68         -0.515          0.235
  130   69          0.320         -0.406
  130   70          0.556          0.359
  130   71          0.289         -0.760
  130   72         -0.484         -0.151
  130   73         -0.322          0.789
  130   74          0.214          0.687
  130   75          0.490          0.513
  130   76          0.469          0.012
  130   77          0.557         -0.718
  130   78         -0.204         -0.048
  130   79          0.196         -0.023
  130   80         -0.478          0.374
  130   81          0.600         -0.542
  130   82          0.213          0.070
  130   83         -0.399         -0.372
  130   84         -0.274          0.587
  130   85         -0.098          0.225
  130   86          0.084          0.155
  130   87         -0.177          0.162
  130   88         -0.299         -0.912
  130   89          0.296         -0.042
  130   90          0.350          0.222
  130   91          0.106          0.388
  130   92         -0.814          0.130
  130   93         -0.811          0.032
  130   94          0.029         -0.078
  130   95          1.183          0.113
  130   96         -0.251          0.383
  130   97          0.091         -0.497
  130   98         -0.065          0.722
  130   99          0.926          0.392
  130  100          0.035         -0.133
  130  101          0.469          0.097
  130  102          0.399          0.005
  130  103         -0.355          0.415
  130  104         -0.067         -0.283
  130  105          0.641          0.134
  130  106          0.905          0.139
  130  107         -0.240          0.246
  130  108         -0.386          0.612
  130  109         -0.321         -0.287
  130  110         -0.768         -0.366
  130  111         -0.577          1.502
  130  112          0.302          0.433
  130  113          0.583         -0.348
  130  114         -0.512         -0.307
  130  115          0.298         -0.102
  130  116          0.327         -0.338
  130  117          0.572          0.173
  130  118          0.242         -0.154
  130  119         -0.013          0.592
  130  120         -0.348          0.427
  130  121          0.585          0.085
  130  122          0.227         -0.569
  130  123         -0.324          0.515
  130  124         -0.171         -0.310
  130  125          0.398         -0.295
  130  126          0.387          0.517
  130  127         -0.138         -0.126
  130  128         -0.469         -0.740
  130  129          0.723          0.441
  130  130          0.199         -0.045
  131    0          0.900          0.000
  131    1         -0.426          0.145
  131    2          1.407          0.615
  131    3          0.770         -0.557
  131    4          0.106         -0.524
  131    5          1.286         -0.804
  131    6          1.198          0.162
  131    7         -0.914         -0.773
  131    8          1.785         -1.134
  131    9          0.110          0.800
