Coefficients order=29 center=1998_05_01_12 


Coefficients for 360 degrees 
  Beginning: CT1935:315  1998:04:17_16h:45m:01s. 
  Centered:  CT1935:135  1998:05:01_08h:03m:13s. 
  End time:  CT1936:320  1998:05:14_14h:15m:54s.

Max Harmonic Order:29   Units: microTesla (0.01G)

  l   m      g(uT)      h(uT)
 14   5     -22.75      11.57
 14   6       9.36      -1.16
 14   7     -30.85       5.48
 14   8      28.71      27.36
 14   9     -41.67       5.63
 14  10      -7.70     -36.15
 14  11     -40.39      83.04
 14  12      42.26     -38.22
 14  13      29.29      42.88
 14  14      72.10      22.00
 15   0    -237.55       0.00
 15   1     -17.05       8.36
 15   2      27.52      35.11
 15   3       9.00     -39.73
 15   4      13.15       4.33
 15   5      31.56       3.32
 15   6      30.52     -11.39
 15   7      90.60      41.64
 15   8       6.74      -4.28
 15   9      15.53     -24.13
 15  10       0.36      -1.99
 15  11      31.19       0.47
 15  12     -27.05      51.70
 15  13     -35.64      71.26
 15  14     -47.10     -26.76
 15  15      17.20      -7.55
 16   0     -37.61       0.00
 16   1       8.26       0.85
 16   2     -13.22      14.46
 16   3     -15.23     -30.17
 16   4     -28.52       4.61
 16   5     -21.66     -18.57
 16   6       2.25      -9.40
 16   7     -73.01       5.15
 16   8     -28.25     -12.76
 16   9      17.03      23.94
 16  10       8.30     -25.06
 16  11      -5.60     -55.40
 16  12     -23.41     -58.24
 16  13      23.94     -59.61
 16  14     121.49      19.83
 16  15     -21.74      35.92
 16  16      16.63      40.77
 17   0    -195.89       0.00
 17   1     -25.95     -22.96
 17   2     -11.81      52.97
 17   3     -35.39     -54.06
 17   4      49.29      62.86
 17   5       3.60     -31.42
 17   6      -0.21      18.73
 17   7     -59.49     -11.27
 17   8       8.56      10.65
 17   9     -22.96      30.19
 17  10      -6.10      -6.33
 17  11     -14.55      43.06
 17  12      -0.06     -26.50
 17  13      25.86      49.44
 17  14     -31.95     -20.03
 17  15      22.33     -11.41
 17  16      -3.64     -66.32
 17  17       6.06      -6.69
 18   0     -17.90       0.00
 18   1     -39.56      26.37
 18   2      -5.54       3.22
 18   3      49.89      -0.71
 18   4     -19.69      -3.73
 18   5      12.02      34.54
 18   6       9.30     -27.74
 18   7      64.92      45.35
 18   8      -2.05      -6.18
 18   9      13.44     -42.69
 18  10     -14.12       4.49
 18  11      18.86      14.81
 18  12      -0.56      33.53
 18  13     -15.73     -37.96
 18  14      24.87      -6.61
 18  15       7.72     -28.40
 18  16       9.62      39.28
 18  17     -11.44      15.46
 18  18      18.58      35.21
 19   0    -180.40       0.00
 19   1     -28.14     -37.40
 19   2      11.16      -5.38
 19   3     -41.20     -77.89
 19   4      13.10      17.08
 19   5     -24.36     -34.48
 19   6      20.04      15.39
 19   7      -3.76       6.85
 19   8     -29.52     -14.05
 19   9     -11.83     -10.94
 19  10      18.88      -7.04
 19  11       4.21       3.55
 19  12     -22.55     -21.23
 19  13      26.76     -42.06
 19  14      17.21     -22.48
 19  15       1.50       0.74
 19  16      27.96      -3.73
 19  17      46.28      17.83
 19  18     -14.57     -49.39
 19  19     -23.10      -7.17
 20   0      -1.72       0.00
 20   1     -32.10      26.45
 20   2     -10.34      10.01
 20   3      23.46     -14.47
 20   4       3.70      42.30
 20   5     -15.08      21.01
 20   6       4.18      -1.52
 20   7     -56.56      12.78
 20   8       3.02      22.55
 20   9      -9.29      19.61
 20  10      10.71      -3.40
 20  11     -11.37      13.62
 20  12       3.90     -14.57
 20  13     -30.48      28.77
 20  14      -3.52      23.43
 20  15      38.19     -34.96
 20  16     -21.57     -31.83
 20  17     -22.34     -21.46
 20  18      27.25      59.84
 20  19      14.36      41.35
 20  20       6.16      46.36
 21   0     -43.18       0.00
 21   1     -47.97     -33.25
 21   2      -9.35     -20.32
 21   3      -2.13     -36.25
 21   4      37.70      34.42
 21   5      14.53     -28.40
 21   6      13.84     -12.06
 21   7      39.41      20.89
 21   8      10.25      -4.64
 21   9      18.52      -9.08
 21  10     -12.21       3.32
 21  11       4.59      -3.49
 21  12     -12.52      29.21
 21  13       6.20      12.62
 21  14      11.61       4.42
 21  15     -15.33       2.58
 21  16      31.10       2.46
 21  17      53.82      22.12
 21  18     -27.07      -0.85
 21  19     -79.49      -2.49
 21  20      22.84     -51.93
 21  21     -26.61     -17.11
 22   0     -12.10       0.00
 22   1     -42.33      39.38
 22   2      25.09     -16.47
 22   3      14.26     -15.57
 22   4     -30.48      12.37
 22   5     -19.03      12.70
 22   6       5.26     -20.09
 22   7     -20.00      21.16
 22   8     -17.55      -8.32
 22   9       1.09      -2.22
 22  10       7.17      -5.45
 22  11       5.63       4.00
 22  12     -13.33     -25.97
 22  13       4.18     -45.74
 22  14      -3.50      20.59
 22  15      -1.39      11.17
 22  16       4.26      13.90
 22  17       8.45      -8.32
 22  18       3.34      -5.51
 22  19      21.79      27.47
 22  20     -12.33      62.33
 22  21       0.46      26.04
 22  22     -12.18      17.57
 23   0     114.75       0.00
 23   1     -43.05     -39.89
 23   2     -10.18     -33.09
 23   3     -18.92     -35.60
 23   4      38.91      48.59
 23   5      -3.59     -36.39
 23   6      16.21      22.83
 23   7     -17.21      -2.58
 23   8      -6.94       5.71
 23   9     -10.83       1.23
 23  10      12.72       5.73
 23  11      -9.94      43.22
 23  12     -14.45     -23.44
 23  13       7.31       8.64
 23  14      -1.13      12.83
 23  15     -25.62      16.47
 23  16      -7.59     -29.23
 23  17       2.28     -20.47
 23  18     -14.72      33.03
 23  19     -41.64      26.82
 23  20       2.77     -17.61
 23  21     -26.21      -4.84
 23  22       7.71      -1.49
 23  23      -9.31     -26.56
 24   0      11.88       0.00
 24   1     -41.28      36.27
 24   2      29.28     -24.93
 24   3      16.18       3.51
 24   4     -13.61      24.51
 24   5      -4.62      31.85
 24   6       4.21     -29.42
 24   7       1.85      30.15
 24   8      -1.53       0.44
 24   9       6.57      -4.51
 24  10      -3.80     -10.97
 24  11       0.02      -1.73
 24  12     -12.48      15.60
 24  13       9.47       3.87
 24  14      17.79      -1.60
 24  15     -10.05      -3.50
 24  16       0.88      -6.80
 24  17      18.64      39.91
 24  18      -0.42      17.61
 24  19       3.63      -2.47
 24  20     -18.47      -1.33
 24  21     -29.36     -14.63
 24  22     -32.36      19.79
 24  23       6.57      44.97
 24  24      -4.55      18.58
 25   0     288.91       0.00
 25   1     -32.84     -23.10
 25   2     -15.07     -78.40
 25   3       7.88      -4.35
 25   4      30.47      34.15
 25   5      -8.06     -51.78
 25   6      21.49      11.69
 25   7      15.04      10.18
 25   8     -13.31      -1.50
 25   9       0.25      -9.25
 25  10       1.53      -2.08
 25  11       5.44       8.93
 25  12     -14.11     -10.63
 25  13      11.22     -13.87
 25  14      -1.18      -6.01
 25  15      12.74      -5.80
 25  16      -1.28       6.74
 25  17      -6.37      -2.53
 25  18       8.23     -16.76
 25  19       5.90      15.53
 25  20      -5.38       6.09
 25  21      10.74      53.12
 25  22      16.30      15.46
 25  23     -31.37     -46.56
 25  24     -18.23     -31.06
 25  25       5.03     -22.44
 26   0      27.58       0.00
 26   1     -18.56      18.34
 26   2      45.08     -31.05
 26   3     -12.53       4.35
 26   4     -13.69      26.30
 26   5     -19.59      29.95
 26   6       7.85     -22.87
 26   7     -31.78      22.35
 26   8      -6.62       6.33
 26   9      -5.91       0.76
 26  10       8.65      -0.20
 26  11      -4.35      11.69
 26  12     -13.92     -13.56
 26  13      -6.18       4.02
 26  14       6.31      11.72
 26  15      -9.52       5.22
 26  16       0.83     -15.51
 26  17     -17.01     -10.75
 26  18      -0.79       8.31
 26  19      -9.35       4.47
 26  20      -7.29      13.88
 26  21      -7.32     -16.22
 26  22     -24.92     -26.14
 26  23      25.03      31.43
 26  24     -14.13      40.66
 26  25     -18.07      42.66
 26  26      -1.23      17.41
 27   0     418.82       0.00
 27   1      -4.45       1.72
 27   2     -12.95     -74.59
 27   3      24.35      41.81
 27   4      23.83      29.29
 27   5       3.41     -50.13
 27   6      23.68      15.82
 27   7      12.75       8.05
 27   8      -1.91       1.54
 27   9       8.27      -2.64
 27  10       1.38       3.61
 27  11      -2.98       8.36
 27  12     -15.40      -1.09
 27  13      14.72      -3.12
 27  14      15.16       2.77
 27  15       2.59      -9.27
 27  16      -5.08     -17.48
 27  17      18.17      16.87
 27  18      -0.85       7.20
 27  19      18.25      10.60
 27  20      -3.66     -19.19
 27  21       1.31       5.67
 27  22      10.35      21.10
 27  23     -30.77       0.82
 27  24     -22.15      -6.08
 27  25      19.38     -25.12
 27  26     -13.77     -17.81
 27  27      -1.22     -12.04
 28   0      46.17       0.00
 28   1       8.03      -6.20
 28   2      43.26     -39.11
 28   3     -27.40      17.00
 28   4      -7.85      15.66
 28   5     -17.50      28.33
 28   6       8.80     -39.05
 28   7     -20.46      34.20
 28   8      -8.37      -0.12
 28   9      -0.63      -3.06
 28  10       0.69      -5.55
 28  11       0.38       6.57
 28  12     -11.50      -1.77
 28  13       7.26     -11.52
 28  14      -0.26       7.05
 28  15       0.29       2.17
 28  16      11.19      -0.28
 28  17      -5.15     -14.29
 28  18       2.74      -9.51
 28  19       0.59     -12.55
 28  20       4.66      14.64
 28  21      15.89      21.60
 28  22     -15.62       0.16
 28  23      19.27      10.20
 28  24       4.58       0.45
 28  25     -17.67      25.83
 28  26      -6.47      -1.49
 28  27     -19.41      14.16
 28  28      -1.04      17.93
 29   0     431.40       0.00
 29   1      29.82      29.98
 29   2      -8.24     -65.53
 29   3      33.46      78.67
 29   4       3.61      10.32
 29   5      -4.06     -52.28
 29   6      33.41      22.48
 29   7      15.14       9.19
 29   8     -10.13       5.34
 29   9      -1.18      -7.77
 29  10       5.76       3.60
 29  11      -1.86      19.66
 29  12     -10.29     -12.89
 29  13       2.58      -6.49
 29  14      -6.26       2.74
 29  15      -7.34      12.46
 29  16       1.21      -1.59
 29  17      10.18      -6.81
 29  18     -15.10      -3.75
 29  19       9.03      10.34
 29  20      -6.50       8.34
 29  21     -10.13     -20.41
 29  22       8.51     -13.83
 29  23      -4.01       2.20
 29  24      -8.33      15.27
 29  25      36.18       5.28
 29  26     -18.12      -2.98
 29  27      -2.26     -13.57
 29  28      18.73     -38.37
 29  29      -8.95     -11.67

